converterSerial,bgswid,objectName,gateway,GW_online,GW_health,GW_last_seen,FWversion,connection,mobile_rssi,disconnects_last_24h,gotVislist,vislistCount,isBinded,inVislist,seenCountToday,see_MBP_reqs,see_MDP_resps,resp_status_ok,conv_error_and_MB_exception
00176331,3015019,Singerstraße 50,0200000140006988,YES,ok,2025-10-14 06:52,3.1.21-vfde-59,mobile,-77,0,YES,168,YES,YES,89,NO,NO,NO,
00176312,2920435,Lange Straße 84,02000001400069AD,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-77,0,YES,2,YES,YES,96,NO,NO,NO,
00176355,3048048,Wallstraße 1,020000014000772A,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-81,0,YES,54,YES,YES,89,NO,NO,NO,
00170511,2773985,Auguststraße 26b,020000014000783B,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-89,0,YES,89,YES,YES,95,NO,NO,NO,
00176317,2732079,Platz der Vereinten Nationen 23,02000001400075C1,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-77,0,YES,1,YES,YES,94,NO,NO,NO,
00176124,3050247,Wasserwerkstraße 11,020000014000687C,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-85,2,YES,263,YES,YES,0,NO,NO,NO,
00175860,2964206,Palisadenstraße 62,020000014000714F,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-71,0,YES,6,YES,YES,96,NO,NO,NO,
00175971,2944033,Michaelkirchplatz 7,0200000140007825,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-75,0,YES,29,YES,YES,88,NO,NO,NO,
00176260,2972088,Platz der Vereinten Nationen 5,0200000140007286,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-69,0,YES,1,YES,YES,94,NO,NO,NO,
00176366,2929234,Lobeckstraße 42,020000014000722E,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-73,1,YES,178,YES,YES,84,NO,NO,NO,
00176285,2972095,Platz der Vereinten Nationen 12,020000014000701A,YES,ok,2025-10-14 06:50,3.1.21-vfde-57,mobile,-81,0,YES,102,YES,YES,97,NO,NO,NO,
00176395,2768361,Andreasstraße 61,02000001400062BD,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-75,0,YES,72,YES,YES,95,NO,NO,NO,
00176319,2972109,Platz der Vereinten Nationen 29,02000001400075D0,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-81,0,YES,2,YES,YES,0,NO,NO,NO,
00042332,3037896,Torstraße 150,0200000140007073,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-83,0,YES,129,YES,NO
00176109,6526891,Graudenzer Straße 21d,020000014000625F,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-77,0,YES,190,YES,YES,91,NO,NO,NO,
00170530,2900005,Karl-Marx-Allee 21,02000001400068EB,YES,ok,2025-10-14 06:52,3.1.21-vfde-59,mobile,-67,2,YES,6,YES,YES,33,NO,NO,NO,
00176122,2973105,Poststraße 2,02000001400071DD,YES,ok,2025-10-14 06:51,3.1.21-vfde-57,mobile,-79,1,YES,54,YES,YES,81,NO,NO,NO,
00176245,3027620,Straßmannstraße 13a,0200000140007262,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-81,0,YES,36,YES,YES,89,NO,NO,NO,
00176263,2811057,Corinthstraße 6,020000014000628E,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-85,0,YES,104,YES,YES,91,NO,NO,NO,
00176081,3003068,Schmidstraße 2d,0200000140007826,YES,ok,2025-10-14 06:52,3.1.21-vfde-59,mobile,-75,0,YES,46,YES,YES,95,NO,NO,NO,
